"","application_id","call_sign"
"311",1677528,"WVVC-FM"
"312",1418218,"WMTQ"
"313",1798149,"WSQN"
"314",1634492,"W201CD"
"315",540602,"WUBJ"
"316",1525070,"WGWR"
"317",1298556,"WJZZ"
"318",197801,"940415I3"
"319",1139159,"WXLU"
"320",1804385,"W201DQ"
"321",132990,"WARY"
"322",1690194,"WKEL"
"323",138839,"EH0307UH"
"324",1656609,"W201DP"
"325",151892,"WEIJ-LD"
"326",1503154,"WYFY"
"327",1553881,"WDPR"
"328",167237,"DK12MO"
"329",106609,"WMMZ"
"330",166899,"DK02MW"
"331",166950,"DK04JW"
"332",1424085,"WHRQ"
"333",1660344,"WBCJ"
"334",1749907,"WFGU-LP"
"335",1157690,"K201FP"
"336",1754706,"KTUA"
"337",1479869,"KJDR"
"338",1425604,"K201IJ"
"339",111782,"DW38DG"
"340",162166,"WDAF-FM"
"341",1245099,"KMSI"
"342",1747929,"KKRI"
"343",167820,"WZFC"
"344",1413170,"KWOU"
"345",1327358,"KDJC"
"346",167441,"WGNM"
"347",1091484,"KLBR"
"348",1052370,"K201DV"
"349",125106,"DWWJT-LP"
"350",185079,"K16CG-D"
"351",129996,"K201BK"
"352",1395903,"KWVA"
"353",1787416,"KWVA"
"354",1080755,"KLFO"
"355",1536360,"KQOC"
"356",244243,"K201DI"
"357",1691205,"KGRI"
"358",1552944,"K201DH"
"359",1018733,"KMPQ"
"360",1486730,"KQHR"
"361",125100,"DK33BO"
"362",1782672,"KQHR"
"363",1706194,"WDIY"
"364",1426935,"WYSP"
"365",1556222,"WEFR"
"366",1534600,"WXTC"
"367",213825,"WZXM"
"368",1245565,"WHHN"
"369",1650463,"W201DO"
"370",1057428,"WKGO"
"371",231408,"WBGM"
"372",1760308,"WPEB"
"373",166498,"KFRR"
"374",1444139,"WRQV"
"375",159274,"WSRU"
"376",128759,"WRGN"
"377",1331260,"WZZD"
"378",1688881,"WKWP"
"379",288998,"WVYC"
"380",111428,"WCRP"
"381",197705,"DWHNE-LP"
"382",1403144,"WELH"
"383",1775067,"WKIV"
"384",171991,"WSBF-FM"
"385",123248,"WWL"
"386",1633174,"W201CH"
"387",1441440,"WRJA-FM"
"388",195497,"DW34BR"
"389",1432924,"K201HB"
"390",89592,"K201AP"
"391",85404,"K201AQ"
"392",202100,"WHTM-TV"
"393",1757416,"KGRH"
"394",1418935,"KOYA"
"395",240075,"KRSD"
"396",167812,"W219DB"
"397",192440,"WUTC"
"398",498252,"WAMP"
"399",1434818,"WRSN"
"400",39412,"WFSK-FM"
"401",552647,"WAZD"
"402",1059225,"KGNZ"
"403",1694734,"KKWV"
"404",1509585,"KVJS"
"405",1593746,"KQUE-FM"
"406",1726748,"KLBT"
"407",154779,"KWWR"
"408",1802777,"K201BM"
"409",166724,"WKLS"
"410",165990,"WWVU-FM"
"411",169620,"KNTU"
"412",706446,"KGKV"
"413",1497169,"KATG"
"414",1780864,"K201HW"
"415",1324404,"KVLW"
"416",1244126,"KCTI-FM"
"417",285231,"K201EP"
"418",167144,"DK09QS"
"419",157407,"DWKLZ"
"420",283040,"K201EU"
"421",1425262,"KHOY"
"422",174904,"KTXT-FM"
"423",1681234,"KHID"
"424",193658,"WEIB"
"425",506795,"KNTU"
"426",197535,"DK40EY"
"427",1200748,"KFTG"
"428",198656,"WOAI"
"429",1188726,"K201DZ"
"430",1357575,"KLBD"
"431",108465,"K09EP-D"
"432",1599140,"KQMD"
